CONTRATO,FECHA_PEDIDO,MOTIVO_PEDIDO,PAQUETE_x,DETALLE_PEDIDO1,DETALLE_PEDIDO2,FECHA_CUMPLIMIENTO,COD_TECNICO,ESTATUS_x,ZONA,MODEM(S)_x,ESTATUS_y,PAQUETE_y,FECHA_INSTALACION,MODEM(S)_y,DIAS_ANTIGUEDAD,DIAS_ATENCION,ont_id,rx_avg
45783,2026-03-01,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),LOS ROJO,nan,2026-03-02,1500503,ACTIVO,SANTIAGUITO,HWTCAF3AC03A,AC,BASINTF250,2025-08-10,HWTCAF3AC03A,203.0,1.0,45783,-29.86692133131654
30723,2026-03-01,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 75MB,LOS ROJO,GT. NIVEL MUY BAJO,2026-03-02,1500374,ACTIVO,VIRREY,XPONDD396864,AC,BASINT30,,XPONDD396864,,1.0,30723,-22.517047184170583
43606,2026-03-01,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,LOS ROJO,"ER, FUERA DE LINEA",2026-03-09,1500039,ACTIVO,PEDREGAL,OPTI37B0C8A5,AC,INT20,2023-10-11,OPTI37B0C8A5,872.0,8.0,43606,-31.195143805309723
30858,2026-03-01,NO NAVEGA. LEDS FIJOS/RUIDO,INTERNET FIBRA 75MB,SIN ACCESO A LA RED,"ER, SE RECOMIENDA VISITA",2026-03-02,1500047,ACTIVO,PRADOS VERDES,XPONDD4CDDD2,AC,INT30,,XPONDD4CDDD2,,1.0,30858,-23.56344567901227
46098,2026-03-01,NO NAVEGA. LEDS FIJOS/RUIDO,BASICO TV + INTERNET FIBRA 250MB ($399),NO TIENE ALCANCE LA RED,"ER, SE RECOMIENDA VISITA",2026-03-04,1500047,ACTIVO,PUNHUATO,HWTCAFAB2D07,AC,BASINTF250,2025-10-12,HWTCAFAB2D07,140.0,3.0,46098,-24.241882396449796
37392,2026-03-02,NO NAVEGA. LEDS FIJOS/RUIDO,INTERNET FIBRA 60MB,nan,"ER, FUERA DE LINEA REQUIERE VISITA",2026-03-03,1500047,ACTIVO,PRADOS VERDES,4857544347D15F9D,AC,INT20,,4857544347D15F9D,,1.0,37392,-22.04952839506174
31368,2026-03-02,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,LOS ROJO,"ER, FUERA DE LINEA",2026-03-03,1500039,ACTIVO,PEDREGAL,XPONDD3FCC0F,AC,INT20,,XPONDD3FCC0F,,1.0,31368,-26.583408308751338
345083,2026-03-02,CAMBIO DE ACOMETIDA,INTERNET FIBRA 75MB,TIT ENTERADO DE CAMBIO DE ACOMETIDA SIN COSTO SOLICITA TEC DAVID E,nan,2026-03-03,1500039,ACTIVO,PEDREGAL,48575443142AD2A9,AC,INT30,,48575443142AD2A9,,1.0,345083,-27.639310471976337
32334,2026-03-02,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 75MB,FOCO ROJO,"ER, FUERA DE LINEA",2026-03-03,1500047,ACTIVO,PRADOS VERDES,XPONDD3FB5FF,AC,BASINT30,2017-04-10,XPONDD3FB5FF,3248.0,1.0,32334,-31.24783827160494
37322,2026-03-02,NO NAVEGA. LEDS FIJOS/RUIDO,INTERNET FIBRA 60MB,nan,REQUIERE VISITA DE FAVOR PARA QUE SE HAGA LA MIGRACION A FIBRA,2026-03-02,1500039,ACTIVO,PERIODISMO,XPONDD41EB83,AC,INT20,,XPONDD41EB83,,0.0,37322,-33.83126071608718
3583,2026-03-02,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 75MB,NO TIENE ALCANCE,"ER, SE RECOMIENDA VISITA",2026-03-03,1500047,ACTIVO,MADERO,XPONDD3C41B0,AC,BASINT30,2014-08-03,XPONDD3C41B0,4229.0,1.0,3583,-21.78586740740747
43143,2026-03-02,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 75MB,LOS ROJO,"ER, FUERA DE LINEA",2026-03-03,1500047,ACTIVO,PUNHUATO,XPONDD4382A3,AC,BASINT30,2023-10-08,XPONDD4382A3,876.0,1.0,43143,-25.173761094674546
30796,2026-03-02,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,nan,"ER, PENDIENTE MIGRASION",2026-03-04,1500039,ACTIVO,PERIODISMO,XPONDD439E0B,AC,INT20,2017-04-04,XPONDD439E0B,3254.0,2.0,30796,-26.930835346215883
46449,2026-03-02,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),LOS ROJO AMBOS SERVICIOS,"ER, SE MANDA CONFIRMAR",2026-03-04,1500039,ACTIVO,PERIODISMO,HWTC500265B2,AC,BASINTF250,,HWTC500265B2,,2.0,46449,-21.11958162568307
46579,2026-03-02,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),LOS ROJO AMBOS SERVICIOS,"ER, NIVEL BAJO MENOS 31.80",2026-03-03,1500039,ACTIVO,PERIODISMO,HWTCAF9132FD,AC,BASINTF250,2026-02-03,HWTCAF9132FD,27.0,1.0,46579,-30.841896615158273
12983,2026-03-02,NO NAVEGA. LEDS FIJOS/RUIDO,BASICO TV + INTERNET FIBRA 60MB,CLIENTE COMENTA QUE NO CUENTA CON NINGUN SERVICIO,nan,2026-03-03,1500374,ACTIVO,VIRREY,XPONDD52DA5C,AC,BASINT20,,XPONDD52DA5C,,1.0,12983,-24.73504450583162
38374,2026-03-02,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 60MB,LOS ROJO SIN SEÑAL EN AMBOS SERVICIOS,"ER, FUERA DE LINEA",2026-03-07,1500285,ACTIVO,VIRREY,OEMT3C1D2624,AC,BASINT20,,OEMT3C1D2624,,5.0,38374,-26.211333640270443
23004,2026-03-02,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 45MB (NO VIGENTE),LOS ROJO,"ER, SE MANDA CONFIRMAR",2026-03-03,1500047,ACTIVO,MADERO,XPONDD3FC347,AC,BASINT10,,XPONDD3FC347,,1.0,23004,-24.270044715447195
343435,2026-03-02,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 120MB,LOS ROJO,"ER, SE MANDA CONFIRMAR",2026-03-04,1501409,ACTIVO,PERIODISMO,XPONDD3FBB2F,AC,BASINT50,2023-05-08,XPONDD3FBB2F,1029.0,2.0,343435,-26.064520150273363
29339,2026-03-03,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),LOS ROJO,"ER, REQUIERE VISITA",2026-03-05,1500285,ACTIVO,VIRREY,HWTCAF8FD2C5,AC,BASINTF250,,HWTCAF8FD2C5,,2.0,29339,-24.895725905463454
19654,2026-03-03,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 75MB,SOLO PRENDE PWR,"ER, SE MANDA CONFIRMAR",2026-03-04,1501409,ACTIVO,PERIODISMO,48575443EFF9497F,AC,INT30,2021-08-09,48575443EFF9497F,1667.0,1.0,19654,-23.735181010928947
46405,2026-03-03,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),LOS FOCOS EN ROJO,"ER, FUERA DE LINEA",2026-03-05,1500039,ACTIVO,PERIODISMO,XPONDD91A0C6,AC,BASINTF250,2026-05-02,XPONDD91A0C6,-60.0,2.0,46405,-30.102732240437355
25678,2026-03-03,NO NAVEGA. LEDS FIJOS/RUIDO,BASICO TELECABLE FIBRA,nan,"ER, SE MANDA CONFIRMAR",2026-03-04,1501409,PENDIENTE DESCONEXION,PERIODISMO,XPONDD354112,nan,nan,,nan,,1.0,25678,-20.67004952185791
44625,2026-03-03,NO NAVEGA. LEDS FIJOS/RUIDO,INTERNET FIBRA 60MB,nan,NO NAVEGA SEÑAL MUY INTERMITENTE REQUIERE VISITA TECNICA,2026-03-03,1500374,ACTIVO,VIRREY,XPONDD3E71A5,AC,INT20,2024-05-09,XPONDD3E71A5,663.0,0.0,44625,-29.253514426028474
46494,2026-03-03,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),nan,"ER, FUERA DE LINEA",2026-03-04,1500374,ACTIVO,VIRREY,XPON2E1B577F,AC,BASINTF250,,XPON2E1B577F,,1.0,46494,-29.830699815838035
45868,2026-03-03,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,MODEM LEDS APAGADOS,"ER, VARIAS DESCONEXIONES",2026-03-04,1500047,ACTIVO,MADERO,XPONDD7E9EA6,AC,INT20,,XPONDD7E9EA6,,1.0,45868,-24.354187654320924
6630,2026-03-03,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),nan,"ER, FUERA DE LINEA",2026-03-04,1500047,ACTIVO,MADERO,XPONDD7EA106,AC,BASINTF250,,XPONDD7EA106,,1.0,6630,-25.502287654321137
